song,artist,start_date,end_date,rank,ranking_list
Laughter In The Rain,Neil Sedaka,1975-02-01,1975-02-07,1,Billboard Hot 100
Fire,Ohio Players,1975-02-01,1975-02-07,2,Billboard Hot 100
Boogie On Reggae Woman,Stevie Wonder,1975-02-01,1975-02-07,3,Billboard Hot 100
You're No Good,Linda Ronstadt,1975-02-01,1975-02-07,4,Billboard Hot 100
Pick Up The Pieces,AWB,1975-02-01,1975-02-07,5,Billboard Hot 100
Please Mr. Postman,Carpenters,1975-02-01,1975-02-07,6,Billboard Hot 100
Mandy,Barry Manilow,1975-02-01,1975-02-07,7,Billboard Hot 100
Morning Side Of The Mountain,Donny & Marie Osmond,1975-02-01,1975-02-07,8,Billboard Hot 100
Best Of My Love,Eagles,1975-02-01,1975-02-07,9,Billboard Hot 100
Some Kind Of Wonderful,Grand Funk,1975-02-01,1975-02-07,10,Billboard Hot 100
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,1975-02-01,1975-02-07,11,Billboard Hot 100
Doctor's Orders,Carol Douglas,1975-02-01,1975-02-07,12,Billboard Hot 100
Never Can Say Goodbye,Gloria Gaynor,1975-02-01,1975-02-07,13,Billboard Hot 100
One Man Woman/One Woman Man,Paul Anka with Odia Coates,1975-02-01,1975-02-07,14,Billboard Hot 100
Rock N' Roll (I Gave You The Best Years Of My Life),Mac Davis,1975-02-01,1975-02-07,15,Billboard Hot 100
Black Water,The Doobie Brothers,1975-02-01,1975-02-07,16,Billboard Hot 100
#9 Dream,John Lennon,1975-02-01,1975-02-07,17,Billboard Hot 100
Look In My Eyes Pretty Woman,Tony Orlando & Dawn,1975-02-01,1975-02-07,18,Billboard Hot 100
Free Bird,Lynyrd Skynyrd,1975-02-01,1975-02-07,19,Billboard Hot 100
Lucy In The Sky With Diamonds,Elton John,1975-02-01,1975-02-07,20,Billboard Hot 100
Sweet Surrender,John Denver,1975-02-01,1975-02-07,21,Billboard Hot 100
Struttin',Billy Preston,1975-02-01,1975-02-07,22,Billboard Hot 100
